smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CCN1CCN(C(=O)CC2(N3CCN(C(=O)OC(C)(C)C)CC3)COC2)CC1(C)C,98647,1,3201,0.7094094572094571,0.7094094572094571,1,22,3570335,CCN1CCNCC1(C)C,27047827,CC(C)(C)OC(=O)N1CCN(C2(CC(=O)O)COC2)CC1,,
CN1C[C@@H](O)[C@H](NC(=O)NCc2ccc3[nH]ccc3c2)C1,112458,1,9460,0.7094078255078256,0.7094078255078256,1,2708,2793292,NCc1ccc2[nH]ccc2c1,24680829,CN1C[C@@H](N)[C@H](O)C1,,
CCOCCC(=O)N1c2cc(C#N)ccc2CC1C,108770,1,7786,0.709402233877234,0.709402233877234,1,22,11844927,CC1Cc2ccc(C#N)cc2N1,86955,CCOCCC(=O)O,,
CCOc1ccc(CNC(=O)C(=O)NCC2(c3ccc(Cl)cc3)CCCCC2)cc1OC,101407,0,4440,0.7093967450849804,0.0,1,271948,2101480,NCC1(c2ccc(Cl)cc2)CCCCC1,925954,CCOc1ccc(CN)cc1OC,,
CCC(CNC(=O)N[C@@H]1CCN(C(=O)OC(C)(C)C)C1)NC(=O)OC(C)(C)C,111129,1,8859,0.7093966866466866,0.7093966866466866,1,2708,2243665,CC(C)(C)OC(=O)N1CC[C@@H](N)C1,2784392,CCC(CN)NC(=O)OC(C)(C)C,,
COC(=O)C(O)CCCN1CCc2cc(Cl)ccc2C1,124844,1,15052,0.7093949797715783,0.7093949797715783,1,2230,3006169,Clc1ccc2c(c1)CCNC2,3527500,COC(=O)C(O)CCCCl,,
Cc1cc(N(N)C(=O)C23CN(C(=O)OC(C)(C)C)CC(F)(C2)C3)n2ncnc2n1,112126,1,9312,0.7093765970957148,0.7093765970957148,1,22,31590,Cc1cc(NN)n2ncnc2n1,26386557,CC(C)(C)OC(=O)N1CC2(F)CC(C(=O)O)(C1)C2,,
COCCC1(CNC(=O)C(=O)NC[C@H]2C[C@@H](NC(=O)OC(C)(C)C)C2)CCCCC1,123236,1,14325,0.7093642502425112,0.7093642502425112,1,271948,5121981,COCCC1(CN)CCCCC1,22693246,CC(C)(C)OC(=O)N[C@H]1C[C@@H](CN)C1,,
CN(CC1(CO)CC1)C(=O)C1CC2CC(=O)CC2C1,111515,1,9032,0.7093510128760128,0.7093510128760128,1,22,26383293,CNCC1(CO)CC1,16334017,O=C1CC2CC(C(=O)O)CC2C1,,
CCOC(C)c1nc(CN2CCOC(C)(CCOC)C2)cs1,100180,1,3890,0.7093396706234941,0.7093396706234941,1,2230,9763286,COCCC1(C)CNCCO1,3567387,CCOC(C)c1nc(CCl)cs1,,
COCCONC(=O)NCC1CCN(C(=O)OC(C)(C)C)CC1(F)F,126122,1,15622,0.7093389033671643,0.7093389033671643,1,2708,4858387,CC(C)(C)OC(=O)N1CCC(CN)C(F)(F)C1,3047895,COCCON,,
CN1CCN(CCS(=O)(=O)NCC23CC(C(=O)N(C)C)(C2)C2(CCN(C(=O)OC(C)(C)C)CC2)O3)CC1,111283,1,8929,0.7093375180375181,0.7093375180375181,1,40,26309646,CN(C)C(=O)C12CC(CN)(C1)OC21CCN(C(=O)OC(C)(C)C)CC1,26394336,CN1CCN(CCS(=O)(=O)Cl)CC1,,
COc1ccc(C(CNC(=O)NCCN2CCN(S(C)(=O)=O)CC2)N(C)C)cc1,109975,1,8336,0.7093208908738319,0.7093208908738319,1,2708,12948,COc1ccc(C(CN)N(C)C)cc1,2014295,CS(=O)(=O)N1CCN(CCN)CC1,,
CCC(C)(CN(C)C(=O)c1cnn(CC(C)(C)O)c1C)OC,123521,1,14452,0.7093198773448772,0.7093198773448772,1,22,26587134,CCC(C)(CNC)OC,26055776,Cc1c(C(=O)O)cnn1CC(C)(C)O,,
COc1ccc(C(=O)CNC(=O)c2cnn(C)c2C2CN(C(=O)OC(C)(C)C)C2)cc1OC,100973,1,4244,0.7093181818181817,0.7093181818181817,1,22,3948983,COc1ccc(C(=O)CN)cc1OC,26079400,Cn1ncc(C(=O)O)c1C1CN(C(=O)OC(C)(C)C)C1,,
CC(CC1(O)CCC1)NC(=O)NCC(F)=C1CCCC1,109131,1,7949,0.7093178459964526,0.7093178459964526,1,2708,26733364,NCC(F)=C1CCCC1,26033672,CC(N)CC1(O)CCC1,,
